Stanford82	Stanford82alias	Stanford11	FoldDirection	Summary
ADAMTS3	ADAMTS3	0	1	0.648268987
ANKRD22	ANKRD22	0	1	0.704397467
ANXA3	ANXA3	0	1	0.718406453
AP3B2	AP3B2	0	1	0.691257002
ARL8A	ARL8A	0	1	0.70250158
B3GNT8	B3GNT8	0	1	0.615647747
BATF	BATF	1	1	1.05344553
BPI	BPI	0	1	0.648547811
BST1	BST1	0	1	0.591543934
C1orf162	C1orf162	0	1	0.675287786
C3AR1	C3AR1	1	1	0.642508375
C9orf103	IDNK	0	1	0.795880493
C9orf95	NMRK1	1	1	0.598497671
CCR1	CCR1	0	1	0.617950635
CD177	CD177	0	1	0.859005318
CD63	CD63	0	1	0.715795173
CD82	CD82	0	1	0.712221582
CEACAM1	CEACAM1	1	1	0.777701568
CLEC5A	CLEC5A	0	1	0.742933173
DHRS9	DHRS9	0	1	0.588826555
EMR1	ADGRE1	0	1	0.631226474
FAM89A	C1orf153	0	1	0.683703554
FCER1G	FCER1G	0	1	0.825093371
FCGR1B	FCGR1B	0	1	0.656424007
FES	FES	0	1	0.619202193
FFAR3	FFAR3	0	1	0.625448932
FIG4	FIG4	0	1	0.607878766
GNA15	GNA15	1	1	0.603380901
GPR84	GPR84	0	1	0.892627089
HK3	HK3	0	1	0.736906316
HP	HP	0	1	0.917672864
IL10	IL10	0	1	0.585979477
IL18R1	IL18R1	0	1	0.589237324
KCNE1	KCNE1	0	1	0.644633039
LCN2	LCN2	0	1	0.707209985
LIN7A	LIN7A	0	1	0.691051093
OSCAR	OSCAR	0	1	0.653818561
OSTalpha	SLC51A	0	1	0.867975898
P2RX1	P2RX1	0	1	0.601662338
PADI2	PADI2	0	1	0.61700716
PECR	PECR	0	1	0.64610516
PLAC8	PLAC8	0	1	0.914225806
PLB1	PLB1	0	1	0.624304172
PNPLA1	PNPLA1	0	1	0.661920926
PPM1M	PPM1M	0	1	0.601672188
PSTPIP2	PSTPIP2	0	1	0.601434254
RETN	RETN	0	1	0.846118094
RGL4	RGL4	0	1	0.727596629
S100A12	S100A12	0	1	0.822032488
SEPHS2	SEPHS2	0	1	0.655955893
SETD8	KMT5A	0	1	0.620324031
SGSH	SGSH	0	1	0.617382735
SIGLEC9	SIGLEC9	0	1	0.778994571
SLC26A8	SLC26A8	0	1	0.661594002
SPPL2A	SPPL2A	0	1	0.62613356
SQRDL	SQRDL	0	1	0.663981102
TCN1	TCN1	0	1	0.590796673
ZDHHC19	DHHC19	1	1	1.082517645
ZDHHC3	ZDHHC3	0	1	0.605150706
ARHGEF18	ARHGEF18	0	-1	-0.708982191
CACNA2D3	CACNA2D3	0	-1	-0.648326892
CNNM3	CNNM3	0	-1	-0.588180411
GLO1	GLO1	0	-1	-0.586056176
GRAMD1C	GRAMD1C	0	-1	-0.686409291
HACL1	HACL1	0	-1	-0.602330372
HLA-DPB1	HLA-DPB1	1	-1	-0.658923602
KIAA1370	FAM214A	1	-1	-0.663771025
KLHDC2	LCP	0	-1	-0.70760025
METAP1	METAP1	0	-1	-0.585303673
MRPS35	MRPS35	0	-1	-0.627421785
MTCH1	MTCH1	1	-1	-0.685976069
NOC3L	NOC3L	0	-1	-0.598889618
ODC1	ODC1	0	-1	-0.681041124
PRKRIR	THAP12	0	-1	-0.623046888
RPGRIP1	RPGRIP1	1	-1	-0.693884453
RPUSD4	RPUSD4	0	-1	-0.596383066
SETD1B	SETD1B	0	-1	-0.597699141
TBC1D4	TBC1D4	0	-1	-0.602544532
TGFBI	TGFBI	1	-1	-0.729955773
TOMM20	TOMM20	0	-1	-0.69877417
UBE2Q2	UBE2Q2	0	-1	-0.587578149
WDR75	WDR75	0	-1	-0.608305947
